id quake blast
514737 1.00 0.00
1162678 1.00 0.00
1079756 0.99 0.01
1386252 1.00 0.00
1529919 0.97 0.03
1127364 1.00 0.00
778783 0.49 0.51
649024 1.00 0.00
726846 0.82 0.18
24779 0.00 1.00
1357388 0.27 0.73
757483 0.98 0.02
1473499 0.86 0.14
1479345 1.00 0.00
11226 0.00 1.00
619551 1.00 0.00
1205845 1.00 0.00
631670 1.00 0.00
1534398 0.83 0.17
580916 0.75 0.25
1126526 0.97 0.03
1026324 1.00 0.00
428304 1.00 0.00
1084179 1.00 0.00
483551 0.92 0.08
838278 0.83 0.17
1427703 1.00 0.00
1043650 1.00 0.00
579887 0.45 0.55
87571 0.53 0.47
441396 1.00 0.00
1332629 1.00 0.00
389400 0.36 0.64
1223511 0.56 0.44
752418 0.51 0.49
1159139 0.99 0.01
1159891 1.00 0.00
1243552 1.00 0.00
1439958 0.75 0.25
184888 0.03 0.97
1180328 1.00 0.00
1491788 0.81 0.19
469119 1.00 0.00
1273187 0.99 0.01
51036 0.00 1.00
1080421 0.89 0.11
1177217 1.00 0.00
1488131 0.91 0.09
791535 0.99 0.01
953681 1.00 0.00
792234 0.94 0.06
547606 1.00 0.00
1063304 0.98 0.02
1021 0.00 1.00
996 0.20 0.80
927556 0.99 0.01
1361937 1.00 0.00
392065 0.97 0.03
705098 1.00 0.00
522824 0.61 0.39
447 0.01 0.99
273576 0.02 0.98
1084163 1.00 0.00
473371 0.79 0.21
1409904 1.00 0.00
569763 1.00 0.00
886470 0.99 0.01
64917 0.01 0.99
433497 0.99 0.01
864441 1.00 0.00
1259393 0.36 0.64
667383 1.00 0.00
328201 0.61 0.39
781788 0.99 0.01
1055089 1.00 0.00
1543513 0.99 0.01
1404965 0.99 0.01
42062 0.00 1.00
938788 0.67 0.33
1180345 1.00 0.00
452263 0.53 0.47
661375 1.00 0.00
111048 0.01 0.99
1217581 1.00 0.00
1361933 1.00 0.00
1454823 0.99 0.01
1135424 1.00 0.00
1329280 1.00 0.00
987161 1.00 0.00
583158 1.00 0.00
938069 1.00 0.00
1316202 0.99 0.01
737283 1.00 0.00
649291 1.00 0.00
619570 1.00 0.00
1226639 1.00 0.00
1302757 1.00 0.00
830286 1.00 0.00
739425 0.99 0.01
1522639 0.91 0.09
1180035 1.00 0.00
1030024 1.00 0.00
180326 0.00 1.00
386271 0.99 0.01
541578 1.00 0.00
1522597 0.85 0.15
95780 0.50 0.50
659421 1.00 0.00
641630 0.94 0.06
989678 1.00 0.00
1153532 0.99 0.01
384998 1.00 0.00
575038 1.00 0.00
1049243 0.86 0.14
100464 0.00 1.00
652929 0.19 0.81
842826 0.39 0.61
1179386 1.00 0.00
455068 0.96 0.04
623202 0.73 0.27
519380 0.98 0.02
681840 1.00 0.00
889573 0.95 0.05
1176206 0.99 0.01
873420 1.00 0.00
350139 0.99 0.01
1108875 0.81 0.19
193873 0.00 1.00
1284244 0.78 0.22
107532 0.00 1.00
1041432 0.99 0.01
1431200 0.95 0.05
114577 0.03 0.97
37270 0.07 0.93
37295 0.02 0.98
156237 0.07 0.93
795594 0.84 0.16
504631 0.98 0.02
739431 1.00 0.00
1401967 0.99 0.01
481759 1.00 0.00
511900 0.99 0.01
838613 1.00 0.00
996103 1.00 0.00
867305 1.00 0.00
1197497 0.90 0.10
157532 0.48 0.52
1284258 0.99 0.01
352035 1.00 0.00
82388 0.00 1.00
91551 0.00 1.00
990495 0.99 0.01
1518146 0.92 0.08
325551 1.00 0.00
365836 1.00 0.00
1210641 0.39 0.61
10862 0.26 0.74
43991 0.00 1.00
1384515 0.99 0.01
1118459 1.00 0.00
333299 1.00 0.00
1513401 1.00 0.00
900149 0.96 0.04
1180359 1.00 0.00
550013 0.90 0.10
943036 0.92 0.08
838191 1.00 0.00
416861 0.93 0.07
1356917 1.00 0.00
788138 0.29 0.71
467347 1.00 0.00
1519795 0.66 0.34
1264224 0.68 0.32
901256 1.00 0.00
897326 1.00 0.00
108769 0.00 1.00
1004955 1.00 0.00
694008 1.00 0.00
902916 1.00 0.00
55079 0.06 0.94
664031 1.00 0.00
1209810 1.00 0.00
1077424 0.78 0.22
11235 0.00 1.00
928517 1.00 0.00
1400704 0.93 0.07
931445 0.86 0.14
1493005 0.89 0.11
745638 0.99 0.01
1183103 0.98 0.02
1541389 1.00 0.00
507181 0.98 0.02
1162675 1.00 0.00
635595 0.99 0.01
583062 1.00 0.00
1083275 1.00 0.00
1230496 0.99 0.01
867731 0.98 0.02
551019 1.00 0.00
70908 0.01 0.99
341271 0.98 0.02
572793 0.99 0.01
902657 0.82 0.18
817232 0.99 0.01
523604 0.99 0.01
535067 0.88 0.12
90077 0.00 1.00
830287 0.99 0.01
563581 0.99 0.01
975279 0.98 0.02
1060870 1.00 0.00
399648 1.00 0.00
933468 1.00 0.00
495271 1.00 0.00
745572 0.09 0.91
598419 1.00 0.00
1078377 1.00 0.00
1385059 0.99 0.01
623197 1.00 0.00
1317832 0.98 0.02
649853 1.00 0.00
1226624 1.00 0.00
903503 0.98 0.02
421328 0.91 0.09
838270 0.98 0.02
528022 0.99 0.01
24774 0.02 0.98
91031 0.01 0.99
48278 0.07 0.93
1159888 0.99 0.01
620650 1.00 0.00
2914 0.55 0.45
119320 0.08 0.92
486680 0.99 0.01
495340 0.54 0.46
461041 1.00 0.00
1301281 1.00 0.00
485184 0.99 0.01
1475070 1.00 0.00
1147449 1.00 0.00
1162552 0.89 0.11
486985 1.00 0.00
1064969 0.81 0.19
825385 0.98 0.02
7845 0.12 0.88
1104431 1.00 0.00
1129188 0.99 0.01
1131277 0.91 0.09
18303 0.51 0.49
680322 0.96 0.04
1326409 0.20 0.80
1230479 0.99 0.01
19507 0.12 0.88
105605 0.01 0.99
667422 1.00 0.00
56340 0.11 0.89
912745 1.00 0.00
634408 1.00 0.00
1102814 0.99 0.01
739443 0.84 0.16
703066 0.95 0.05
1351852 1.00 0.00
1093324 1.00 0.00
376936 0.99 0.01
521297 1.00 0.00
986791 0.98 0.02
586339 1.00 0.00
1071736 0.99 0.01
556969 0.86 0.14
1259697 0.96 0.04
923942 0.48 0.52
1466647 1.00 0.00
1270287 0.98 0.02
24318 0.00 1.00
1025751 0.83 0.17
1426193 0.95 0.05
1355417 0.71 0.29
519028 0.90 0.10
227553 0.01 0.99
1090571 1.00 0.00
723910 1.00 0.00
924604 0.97 0.03
1505942 1.00 0.00
235095 0.00 1.00
902974 1.00 0.00
1261477 0.64 0.36
1397063 1.00 0.00
1032528 1.00 0.00
809068 1.00 0.00
466034 1.00 0.00
1253818 1.00 0.00
1473172 1.00 0.00
950428 0.97 0.03
1063382 1.00 0.00
1307389 0.85 0.15
1255085 1.00 0.00
594563 0.96 0.04
1423832 1.00 0.00
45523 0.53 0.47
149851 0.00 1.00
637703 1.00 0.00
145468 0.14 0.86
1227258 0.88 0.12
631647 1.00 0.00
1078589 0.99 0.01
1224193 1.00 0.00
76038 0.00 1.00
1461180 0.41 0.59
1343822 0.70 0.30
631664 0.76 0.24
691866 0.81 0.19
443976 0.99 0.01
698442 0.98 0.02
664043 1.00 0.00
861558 1.00 0.00
600922 1.00 0.00
991956 0.57 0.43
449414 0.52 0.48
594777 1.00 0.00
1317855 1.00 0.00
823997 1.00 0.00
553305 1.00 0.00
149022 0.01 0.99
1525074 0.98 0.02
1406401 0.85 0.15
824151 1.00 0.00
1404015 1.00 0.00
788228 1.00 0.00
1384608 0.92 0.08
1083634 1.00 0.00
1483329 1.00 0.00
1097658 1.00 0.00
1069328 1.00 0.00
644017 0.95 0.05
692712 0.94 0.06
337587 1.00 0.00
1413767 1.00 0.00
1277216 1.00 0.00
893070 1.00 0.00
329870 0.94 0.06
1290574 0.43 0.57
1323536 0.98 0.02
1525445 0.98 0.02
1451441 1.00 0.00
44549 1.00 0.00
467364 1.00 0.00
99524 0.47 0.53
600690 0.99 0.01
1293158 0.98 0.02
705240 1.00 0.00
1052302 1.00 0.00
107529 0.00 1.00
1202454 1.00 0.00
1143356 0.91 0.09
1543497 0.99 0.01
6168 0.00 1.00
1451368 0.99 0.01
742341 0.28 0.72
1405206 1.00 0.00
1032371 0.95 0.05
1181907 0.99 0.01
932422 1.00 0.00
922912 1.00 0.00
1259421 0.98 0.02
1175462 0.99 0.01
1054875 0.98 0.02
1440314 1.00 0.00
86159 0.42 0.58
381275 1.00 0.00
1043250 0.59 0.41
1032448 0.99 0.01
85121 0.17 0.83
912588 0.41 0.59
1080089 0.99 0.01
1030827 0.30 0.70
575109 0.86 0.14
983738 0.99 0.01
927555 1.00 0.00
327790 1.00 0.00
898157 0.97 0.03
1439223 0.82 0.18
706059 1.00 0.00
58825 0.00 1.00
1030082 0.99 0.01
82394 0.02 0.98
43183 0.01 0.99
484511 0.66 0.34
912047 0.59 0.41
627915 0.99 0.01
406287 0.96 0.04
1006238 1.00 0.00
677562 1.00 0.00
908943 1.00 0.00
1491669 0.32 0.68
905626 0.09 0.91
594639 0.93 0.07
927169 1.00 0.00
555047 0.97 0.03
1421368 1.00 0.00
1375662 1.00 0.00
915766 0.36 0.64
673576 0.98 0.02
1522388 1.00 0.00
747085 1.00 0.00
917659 1.00 0.00
1303557 0.45 0.55
881444 1.00 0.00
1285888 0.49 0.51
72823 0.00 1.00
150577 0.42 0.58
604914 0.98 0.02
847019 0.48 0.52
815866 1.00 0.00
708193 1.00 0.00
1013743 0.94 0.06
574366 1.00 0.00
482622 0.61 0.39
94397 0.26 0.74
1387035 0.98 0.02
735346 1.00 0.00
526232 1.00 0.00
84 0.00 1.00
1048872 1.00 0.00
863737 0.80 0.20
927536 0.98 0.02
1357447 1.00 0.00
1277074 1.00 0.00
496392 0.77 0.23
29687 0.00 1.00
89680 0.00 1.00
1314260 1.00 0.00
1168559 1.00 0.00
983376 1.00 0.00
1041427 1.00 0.00
20604 0.00 1.00
450856 1.00 0.00
1478834 0.88 0.12
1306285 0.99 0.01
1384735 1.00 0.00
613558 0.94 0.06
506668 0.99 0.01
62345 0.01 0.99
145512 0.09 0.91
1383605 0.99 0.01
487213 0.36 0.64
143322 0.36 0.64
946739 1.00 0.00
1214457 0.94 0.06
495734 1.00 0.00
528008 0.63 0.37
763899 1.00 0.00
347696 1.00 0.00
143373 0.26 0.74
1050229 0.96 0.04
15034 0.01 0.99
44237 0.58 0.42
596028 0.97 0.03
381280 0.98 0.02
1226669 1.00 0.00
934695 1.00 0.00
1078369 1.00 0.00
142009 0.00 1.00
383946 1.00 0.00
1151824 0.43 0.57
916288 0.96 0.04
706095 0.67 0.33
1038621 1.00 0.00
704120 0.98 0.02
1004980 1.00 0.00
1116434 1.00 0.00
1146301 1.00 0.00
1404358 0.99 0.01
1404750 0.96 0.04
89964 0.01 0.99
415415 0.31 0.69
501656 1.00 0.00
1195077 1.00 0.00
633308 0.98 0.02
710403 0.91 0.09
60153 0.25 0.75
840274 0.96 0.04
441406 0.85 0.15
462581 1.00 0.00
1113921 1.00 0.00
1087905 1.00 0.00
1233821 0.19 0.81
1155280 0.99 0.01
31451 0.00 1.00
1020675 0.67 0.33
109309 0.49 0.51
736035 1.00 0.00
325157 0.97 0.03
1083209 1.00 0.00
456700 0.87 0.13
375809 0.96 0.04
1192342 0.95 0.05
363392 1.00 0.00
55351 0.00 1.00
1043634 1.00 0.00
337962 1.00 0.00
62413 0.04 0.96
259058 0.00 1.00
838156 0.99 0.01
1502349 1.00 0.00
709176 0.98 0.02
845061 0.88 0.12
793610 0.71 0.29
541620 0.96 0.04
1425218 0.24 0.76
499342 0.99 0.01
1222914 1.00 0.00
1157302 0.99 0.01
1012832 1.00 0.00
652365 0.79 0.21
1357427 1.00 0.00
18964 0.07 0.93
511347 1.00 0.00
709062 1.00 0.00
858073 0.98 0.02
658844 0.95 0.05
593507 0.95 0.05
89953 0.18 0.82
19006 0.09 0.91
1294311 1.00 0.00
1102371 1.00 0.00
214796 0.01 0.99
495731 1.00 0.00
824963 1.00 0.00
85128 0.00 1.00
466585 0.99 0.01
50142 0.01 0.99
922823 1.00 0.00
886061 1.00 0.00
24677 0.00 1.00
1143391 0.91 0.09
1071091 1.00 0.00
715486 1.00 0.00
607965 0.96 0.04
1205847 1.00 0.00
395273 0.99 0.01
1108874 0.95 0.05
205145 0.00 1.00
1470703 1.00 0.00
1471840 0.42 0.58
1314858 1.00 0.00
99950 0.67 0.33
965222 1.00 0.00
1034452 0.99 0.01
547756 0.80 0.20
697715 0.88 0.12
846755 1.00 0.00
539871 1.00 0.00
578366 0.91 0.09
585477 0.97 0.03
872010 1.00 0.00
624517 1.00 0.00
1090576 1.00 0.00
568173 0.99 0.01
40177 0.00 1.00
1543488 1.00 0.00
831888 0.37 0.63
823055 1.00 0.00
99565 0.86 0.14
1090568 1.00 0.00
141961 0.21 0.79
934043 0.28 0.72
1310313 1.00 0.00
1367748 0.98 0.02
1097345 1.00 0.00
1461141 1.00 0.00
46320 0.01 0.99
1273210 0.99 0.01
670580 0.92 0.08
857217 1.00 0.00
1538272 1.00 0.00
779701 0.92 0.08
446271 0.95 0.05
686437 1.00 0.00
1462323 1.00 0.00
1419716 0.99 0.01
55051 0.00 1.00
819666 1.00 0.00
40647 0.03 0.97
668011 1.00 0.00
1468314 1.00 0.00
1074405 1.00 0.00
1045093 1.00 0.00
1289785 0.98 0.02
68762 0.01 0.99
19978 0.24 0.76
224531 0.00 1.00
1226674 1.00 0.00
1335386 1.00 0.00
1459432 0.68 0.32
888575 1.00 0.00
101430 0.00 1.00
564763 1.00 0.00
964972 0.27 0.73
57727 0.42 0.58
1073515 0.99 0.01
1025059 0.99 0.01
627467 1.00 0.00
314392 0.89 0.11
765263 0.36 0.64
629116 1.00 0.00
1459880 0.89 0.11
62558 0.00 1.00
1280114 0.99 0.01
458878 1.00 0.00
83155 0.14 0.86
1118058 1.00 0.00
953385 0.46 0.54
391661 1.00 0.00
1222912 1.00 0.00
1097216 1.00 0.00
453443 1.00 0.00
499568 0.90 0.10
1469537 0.97 0.03
739053 0.99 0.01
984128 1.00 0.00
1397227 0.97 0.03
1415164 1.00 0.00
1286589 1.00 0.00
1244907 1.00 0.00
868410 0.99 0.01
1232843 0.97 0.03
1030028 1.00 0.00
940037 0.99 0.01
891948 0.61 0.39
91013 0.03 0.97
1166710 1.00 0.00
349216 1.00 0.00
1262143 0.86 0.14
1252398 1.00 0.00
1025708 1.00 0.00
1270000 1.00 0.00
1194269 0.74 0.26
1281316 1.00 0.00
556905 1.00 0.00
559713 0.99 0.01
9423 0.01 0.99
667060 0.97 0.03
519685 0.98 0.02
1377028 0.93 0.07
458880 0.94 0.06
903466 1.00 0.00
649700 1.00 0.00
1059444 1.00 0.00
1202285 0.32 0.68
1248441 0.99 0.01
1429507 1.00 0.00
1496306 0.67 0.33
191320 0.00 1.00
977792 1.00 0.00
737659 1.00 0.00
517413 1.00 0.00
205235 0.33 0.67
1306198 0.88 0.12
812590 1.00 0.00
1360083 0.43 0.57
511310 0.98 0.02
1219185 0.99 0.01
356213 0.88 0.12
897096 1.00 0.00
1076108 0.93 0.07
1522598 1.00 0.00
374145 1.00 0.00
627510 1.00 0.00
1396893 1.00 0.00
397356 1.00 0.00
1126519 1.00 0.00
631689 1.00 0.00
953541 0.97 0.03
1317748 0.98 0.02
314634 0.97 0.03
55528 0.05 0.95
1251118 1.00 0.00
44221 0.00 1.00
5813 0.00 1.00
58795 0.02 0.98
881189 0.86 0.14
1079433 0.93 0.07
1359232 1.00 0.00
25795 0.00 1.00
1095403 0.98 0.02
1150288 1.00 0.00
712524 1.00 0.00
1337056 0.59 0.41
547386 0.97 0.03
75221 0.00 1.00
344631 0.88 0.12
937362 0.99 0.01
1150334 1.00 0.00
154915 0.02 0.98
1192573 0.95 0.05
615625 0.98 0.02
579909 0.27 0.73
811595 0.55 0.45
61988 0.28 0.72
466811 0.98 0.02
1492995 1.00 0.00
81914 0.02 0.98
126717 0.26 0.74
52836 0.03 0.97
1373751 0.90 0.10
1234124 1.00 0.00
895127 0.76 0.24
770591 0.99 0.01
772740 0.99 0.01
857197 0.92 0.08
791537 1.00 0.00
657651 1.00 0.00
649026 0.15 0.85
1193938 0.97 0.03
1150708 0.86 0.14
1082810 0.46 0.54
911553 0.94 0.06
768145 0.80 0.20
515788 1.00 0.00
1302941 0.99 0.01
1110778 1.00 0.00
1320104 0.68 0.32
1062622 1.00 0.00
224538 0.00 1.00
1147090 1.00 0.00
550835 0.95 0.05
495599 1.00 0.00
893745 1.00 0.00
214804 0.08 0.92
858496 0.98 0.02
148824 0.00 1.00
1502834 0.41 0.59
547609 1.00 0.00
1046929 0.99 0.01
491589 0.94 0.06
1070466 1.00 0.00
751195 0.94 0.06
572018 1.00 0.00
968546 1.00 0.00
912560 0.17 0.83
684616 0.99 0.01
644652 0.98 0.02
339987 1.00 0.00
506678 0.52 0.48
111023 0.01 0.99
1287278 0.98 0.02
461968 0.99 0.01
1091240 1.00 0.00
644022 0.99 0.01
1035046 0.67 0.33
101427 0.00 1.00
34205 0.00 1.00
1298052 0.16 0.84
15470 0.02 0.98
767014 0.58 0.42
697207 1.00 0.00
533652 0.64 0.36
1280769 0.38 0.62
1405235 1.00 0.00
1361932 1.00 0.00
483497 0.81 0.19
314669 0.91 0.09
417861 0.28 0.72
842788 1.00 0.00
1467936 1.00 0.00
1237132 0.67 0.33
1181775 1.00 0.00
1281538 0.98 0.02
401959 1.00 0.00
537362 0.38 0.62
481746 0.97 0.03
1186574 0.92 0.08
395262 1.00 0.00
1466651 0.99 0.01
1469563 0.99 0.01
86564 0.00 1.00
80598 0.52 0.48
1140683 1.00 0.00
1519273 0.99 0.01
398059 1.00 0.00
1142675 0.85 0.15
1439090 0.99 0.01
943069 0.28 0.72
1515715 1.00 0.00
598447 1.00 0.00
949709 0.58 0.42
1505496 0.59 0.41
609335 1.00 0.00
349568 0.68 0.32
591496 0.82 0.18
491614 1.00 0.00
544535 1.00 0.00
1026495 1.00 0.00
1129408 0.99 0.01
886451 1.00 0.00
1213326 1.00 0.00
351226 1.00 0.00
1207175 0.84 0.16
1178724 1.00 0.00
1141897 1.00 0.00
840429 0.79 0.21
1293987 1.00 0.00
108815 0.00 1.00
344067 1.00 0.00
87877 0.10 0.90
10273 0.01 0.99
19510 0.00 1.00
549128 0.75 0.25
748063 0.93 0.07
1396901 0.96 0.04
737286 1.00 0.00
370385 0.99 0.01
909428 1.00 0.00
1545315 0.91 0.09
1519051 0.98 0.02
947500 0.95 0.05
1013130 1.00 0.00
44165 0.05 0.95
774207 1.00 0.00
1343244 0.97 0.03
961325 0.52 0.48
1080707 1.00 0.00
859211 0.97 0.03
1543874 0.98 0.02
521039 0.51 0.49
772789 1.00 0.00
658843 1.00 0.00
1221542 0.99 0.01
1509811 0.99 0.01
1150264 1.00 0.00
130850 0.02 0.98
1032369 1.00 0.00
412643 0.40 0.60
1094354 0.96 0.04
1352564 1.00 0.00
83923 0.03 0.97
1264689 0.98 0.02
889542 1.00 0.00
408480 1.00 0.00
